"Company 
(Maker-if known)","Specific Bean Origin
or Bar Name",REF,"Review
Date","Cocoa
Percent","Company
Location",Rating,"Bean
Type","Broad Bean
Origin"
Kyya,Hispaniola,1359,2014,72.5%,U.S.A.,3.0, ,Dominican Republic
DAR,"DUO, batch 002",1920,2016,70%,U.S.A.,3.25, ,"Ecuador, Costa Rica"
Videri,Classic,991,2012,70%,U.S.A.,3.25, ,Central and S. America
Guittard,Nicaragua,1053,2013,65%,U.S.A.,2.75, ,Nicaragua
Cacao Store,Peru,1684,2015,70%,Japan,3.25, ,Peru
Artisan du Chocolat,Panama,745,2011,72%,U.K.,2.75, ,Panama
Szanto Tibor,"Fazenda Sempre Firme, Bahia",1708,2015,70%,Hungary,3.5,Forastero (Parazinho),Brazil
Ethel's Artisan (Mars),Porcelana,666,2011,70%,U.S.A.,2.5,Criollo (Porcelana),Venezuela
Maglio,Ecuador,308,2008,70%,Italy,3.0,Forastero (Nacional),Ecuador
Friis Holm (Bonnat),"Chuno, double turned, Xoco",899,2012,70%,Denmark,3.25,"Criollo, Trinitario",Nicaragua
Molucca,Indonesia,1618,2015,70%,U.S.A.,2.75, ,Indonesia
Friis Holm (Bonnat),"Johe, Xoco",623,2011,70%,Denmark,3.25,"Criollo, Trinitario",Nicaragua
Pangea,Matasawalevu,1860,2016,76%,Spain,3.0, ,Fiji
Alexandre,"Winak Coop, Napo",1944,2017,70%,Netherlands,3.5,Forastero (Nacional),Ecuador
Bar Au Chocolat,Duarte Province,983,2012,70%,U.S.A.,3.25, ,Dominican Republic
Zotter,"Bocas del Toro, Cocabo Co-op",801,2012,72%,Austria,3.5, ,Panama
Maverick,Elvesia,1367,2014,70%,U.S.A.,3.25, ,Dominican Republic
Soma,Hispaniola,377,2009,70%,Canada,3.0,Forastero,Dominican Republic
Idilio (Felchlin),"Porcelana, Zulia",733,2011,74%,Switzerland,4.0,Criollo,Venezuela
Lonohana,"Haleiwa, O'ahu; Lonohana E., Kanahiku",1383,2014,70%,U.S.A.,3.75, ,Hawaii
Kallari (Ecuatoriana),Diego 60hr/ W.F. blend prototype,248,2008,85%,Ecuador,3.0, ,Ecuador
Haigh,South America and Africa,701,2011,70%,Australia,3.0, ,"South America, Africa"
Altus aka Cao Artisan,Gruppo Salinas,1732,2016,60%,U.S.A.,2.75, ,Ecuador
Michel Cluizel,Tamarina,24,2006,70%,France,3.0,Forastero,Sao Tome
Domori,"Ocumare 67, Puertofino",192,2007,70%,Italy,4.0,Criollo (Ocumare 67),Venezuela
Lonohana,"Opaeula Estate, O'ahu, Nene, CG Exclusive",1093,2013,71%,U.S.A.,3.0, ,Hawaii
Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2004/2007",153,2007,90%,U.S.A.,2.0,Forastero (Arriba),Ecuador
Martin Mayer,Alto Beni,1836,2016,76%,Austria,2.75, ,Bolivia
La Maison du Chocolat (Valrhona),Tobago,1145,2013,60%,France,3.25, ,Tobago
Bonnat,"Cusco, Cacao Cusco",629,2011,75%,France,3.5, ,Peru
Ambrosia,Papua New Guinea,1498,2015,63%,Canada,3.25, ,Papua New Guinea
Cacao de Origen,Rio Caribe,1692,2015,75%,Venezuela,3.25,Trinitario,Venezuela
Chocovic,Guyave,117,2007,71%,Spain,2.5,Trinitario,Grenada
Belcolade,Ecuador,586,2010,71%,Belgium,3.5, ,Ecuador
Laia aka Chat-Noir,"Cuba, Batch 59/100",1590,2015,75%,France,3.0, ,Cuba
Spencer,"Dominican Republic, lot D82R",1792,2016,70%,Australia,3.5, ,Domincan Republic
Bonnat,Chuao,81,2006,75%,France,4.0,Trinitario,Venezuela
Hotel Chocolat (Coppeneur),Uganda,296,2008,80%,U.K.,2.5,Forastero,Uganda
Bakau,"Huallabamba, 2015",1454,2015,70%,Peru,3.5, ,Peru
Soul,Venezuela,1936,2017,75%,Canada,3.5, ,Venezuela
Hummingbird,Momotombo,1311,2014,70%,Canada,3.0,Trinitario,Nicaragua
Olivia,Carribean-Raw,688,2011,76%,Canada,2.0, ,Carribean
Rogue,Trinidad,213,2008,70%,U.S.A.,3.0,Trinitario,Trinidad
Pump Street Bakery,Guantupi River,1227,2014,85%,U.K.,2.75,Forastero (Nacional),Ecuador
Cacaoyere (Ecuatoriana),Pichincha,259,2008,91%,Ecuador,1.5,Forastero (Arriba),Ecuador
Arete,San Juan,1724,2016,70%,U.S.A.,3.5,Trinitario,Trinidad
Caribeans,Costa Rica,841,2012,72%,Costa Rica,3.0,Forastero,Costa Rica
Soul,Papua New Guinea,1936,2017,77%,Canada,3.25, ,Papua New Guinea
Hotel Chocolat (Coppeneur),"Island Growers, 96hr c.",623,2011,65%,U.K.,3.25,Trinitario,St. Lucia
Moho,"Toledo District, w/ nibs",1026,2013,73%,U.S.A.,3.25,Trinitario,Belize
Kah Kow,"Rizek Cacao, Domin. Rep.",1073,2013,62%,Domincan Republic,3.25, ,Dominican Republic
Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",508,2010,74%,Switzerland,3.25,Criollo (Porcelana),Venezuela
Pierre Marcolini,"Sambirano, Ambanja, Madagascar",141,2007,72%,Belgium,4.0,Trinitario,Madagascar
Undone,Nourish,1438,2014,70%,U.S.A.,3.0, ,Dominican Republic
Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,2017,73%,U.K.,3.0, ,Malaysia
Hotel Chocolat (Coppeneur),Chuao,600,2010,70%,U.K.,2.75,Trinitario,Venezuela
Guittard,Ocumare,276,2008,65%,U.S.A.,3.5, ,Venezuela
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,72%,U.K.,3.25,Trinitario,Trinidad
Soma,"Sangre Grande P., Trinidad",1073,2013,70%,Canada,3.75,Trinitario,Trinidad
Bright,Somia Plantation,1231,2014,72%,Australia,3.0,Trinitario,Madagascar
Rogue,"Hispaniola, 2008",213,2008,70%,U.S.A.,2.75, ,Dominican Republic
Q Chocolate,Brazil,1057,2013,75%,Brazil,3.25, ,Brazil
El Ceibo,Alto Beni,252,2008,71%,Bolivia,2.75, ,Bolivia
Bittersweet Origins,Ankasa,256,2008,70%,U.S.A.,3.0,Forastero,Ghana
Habitual,Sharkey,1201,2014,66%,Canada,3.25, ,Hawaii
Arete,Lam Dong,1928,2016,73%,U.S.A.,3.25, ,Vietnam
Loiza,Puerto Rico,1049,2013,65%,Puerto Rico,2.5, ,Puerto Rico
Original Beans (Felchlin),"Piura, Apotequil, ""Porcelana"" 72hr c.",341,2009,75%,Switzerland,3.0,Criollo,Peru
El Rey,"Carenero Superior, Mijao",206,2008,61%,Venezuela,3.0,Criollo,Venezuela
Salgado,Esmeraldas,288,2008,70%,Argentina,3.5,Forastero (Nacional),Ecuador
Soma,"Elvesia P., Black Science",682,2011,70%,Canada,3.75,Forastero,Dominican Republic
Artisan du Chocolat,Peru,363,2009,75%,U.K.,3.0,Criollo,Peru
Original Beans (Felchlin),"D.R. Congo, Cru Virunga",331,2009,70%,Switzerland,3.0,Forastero,Congo
Bright,Gran Couva,1235,2014,68%,Australia,2.75,Trinitario,Trinidad
Bonnat,"Madagascar, 100% criollo",629,2011,75%,France,4.0,Criollo,Madagascar
Willie's Cacao,Rio Caribe,457,2009,72%,U.K.,3.25,Trinitario,Venezuela
Bonnat,"Porcelana, Venezuela",199,2008,75%,France,4.0,Criollo (Porcelana),Venezuela
Shark's,"Hilo, w/ added cocoa butter",721,2011,73%,U.S.A.,2.5, ,Hawaii
Ritual,"Camino Verde P., Balao, Guayas, 2014",1466,2015,85%,U.S.A.,3.5, ,Ecuador
Sirene,"Somia Plantation, 2012",1339,2014,67%,Canada,3.75,Trinitario,Madagascar
Zotter,"Loma Los Pinos, Yacao region, D.R.",875,2012,62%,Austria,3.75, ,Dominican Republic
Bisou,Belize,1486,2015,86%,U.S.A.,3.25,Trinitario,Belize
Palette de Bine,Sambirano,1239,2014,78%,Canada,3.75,Trinitario,Madagascar
Violet Sky,Cuyagua,1458,2015,77%,U.S.A.,3.0,Criollo,Venezuela
Hummingbird,Bolivia,1307,2014,70%,Canada,3.0,"Criollo, Trinitario",Bolivia
Manoa,Coto Brus,1522,2015,72%,U.S.A.,3.75, ,Costa Rica
Cacao Prieto,"Criollo, Dominican Republic",991,2012,72%,U.S.A.,3.75,Criollo,Dominican Republic
Terroir,Peru,1478,2015,70%,U.S.A.,2.75, ,Peru
Montecristi,Manabi,1654,2015,70%,Ecuador,3.25, ,Ecuador
El Ceibo,"Alto Beni, Covendo Region",709,2011,75%,Bolivia,3.75, ,Bolivia
Sibu,Oscuro,1586,2015,70%,Costa Rica,3.5, ,Costa Rica
Snake & Butterfly,Madagascar,502,2010,68%,U.S.A.,3.0,Trinitario,Madagascar
Olivia,Carribean,688,2011,85%,Canada,2.75, ,Carribean
Mita,Tumaco,955,2012,65%,Colombia,2.5, ,Colombia
Idilio (Felchlin),"Carenero Superior, Urrutia, Barlovento",737,2011,70%,Switzerland,4.0,Trinitario,Venezuela
Matale,Blend,1181,2013,70%,Australia,3.75,Trinitario,"PNG, Vanuatu, Mad"
Caribeans,Anselmo Paraiso Estate,1586,2015,72%,Costa Rica,3.5, ,Costa Rica
Artisan du Chocolat,Java,355,2009,72%,U.K.,2.75,Trinitario,Indonesia
Danta,Los Ujuxtes,1223,2014,82%,Guatemala,3.25, ,Guatemala
Mast Brothers,Conacado,777,2011,73%,U.S.A.,3.25, ,Dominican Republic
Danta,Chuao,987,2012,75%,Guatemala,3.0,Trinitario,Venezuela
Tablette (aka Vanillabeans),Colombia,1450,2015,70%,Japan,3.0, ,Colombia
Artisan du Chocolat,Jamaica,531,2010,72%,U.K.,3.75,Trinitario,Jamaica
Domori,Granella,135,2007,60%,Italy,3.25,Trinitario,Venezuela
Map Chocolate,"Ben Tre, Surprise Valley",1896,2016,75%,U.S.A.,3.25,Trinitario,Vietnam
Amano,Montanya,363,2009,70%,U.S.A.,3.0, ,Venezuela
Chocovivo,Tabasco,1522,2015,65%,U.S.A.,2.5,Trinitario,Mexico
Moho,"Umoho R., Toledo District, San Felipe",607,2010,67%,U.S.A.,2.75,Trinitario,Belize
C-Amaro,Cuba,1442,2014,75%,Italy,2.5, ,Cuba
Soma,"Dancing in Your Head, 5 bean blend",867,2012,70%,Canada,4.0,Blend,"Gre., PNG, Haw., Haiti, Mad"
Georgia Ramon,ABOCFA Coop,1642,2015,70%,Germany,4.0,Forastero,Ghana
Valrhona,Chuao 2002 P.,129,2007,65%,France,3.75,Trinitario,Venezuela
Charm School,Maya Mtn,1900,2016,70%,U.S.A.,3.25, ,Belize
Daintree,Goodman Estate,1654,2015,70%,Australia,2.75, ,Australia
Middlebury,San Juan Estate,1490,2015,70%,U.S.A.,3.5,Trinitario,Trinidad
Xocolat,Hispaniola,1057,2013,66%,Domincan Republic,3.0, ,Dominican Republic
La Maison du Chocolat (Valrhona),Akosombo,346,2009,68%,France,3.25,Forastero,Ghana
Guittard,Haiti,1053,2013,65%,U.S.A.,2.75, ,Haiti
Bittersweet Origins,"Bali, Singaraja",558,2010,65%,U.S.A.,2.75, ,Indonesia
Amano,"Bali, Jembrana",304,2008,70%,U.S.A.,2.75, ,Indonesia
Bonnat,Madagascar,75,2006,75%,France,4.0,Trinitario,Madagascar
Cacaoyere (Ecuatoriana),Amazonia,237,2008,63%,Ecuador,3.5,Forastero (Arriba),Ecuador
Un Dimanche A Paris,Dominican Republic,709,2011,63%,France,3.75, ,Dominican Republic
Sirene,"Camino Verde P., Balao, Guayas, 2012",1506,2015,100%,Canada,3.0, ,Ecuador
Soma,"La Tronca, Matagalpa",1227,2014,70%,Canada,3.5, ,Nicaragua
Mast Brothers,Guatemala,1450,2015,76%,U.S.A.,3.0, ,Guatemala
Arete,"Coto Brus, Terciopelo",1908,2016,70%,U.S.A.,4.0, ,Costa Rica
Choklat,Brazilian,377,2009,80%,Canada,3.0, ,Brazil
Black Mountain,Carenero Superior,256,2008,70%,U.S.A.,2.75,Trinitario,Venezuela
La Maison du Chocolat (Valrhona),Grenada,741,2011,68%,France,3.5,Trinitario,Grenada
Soma,Carenero Superior,951,2012,70%,Canada,3.75,Trinitario,Venezuela
Rogue,Porcelana,1209,2014,80%,U.S.A.,3.75,Criollo,Venezuela
StRita Supreme,"Samar, East Visayas region",943,2012,70%,U.S.A.,2.5, ,Philippines
Guittard,Nocturne,387,2009,91%,U.S.A.,3.0, , 
Kakao,Vanuatu,387,2009,65%,Germany,3.75,Trinitario,Vanuatu
Woodblock,Sambirano,951,2012,70%,U.S.A.,3.25,Trinitario,Madagascar
"Smooth Chocolator, The","Oko Caribe, DOR005",1940,2017,70%,Australia,3.5, ,Dominican Republic
Cao,Porcelana,1804,2016,75%,U.S.A.,2.5,Criollo,Venezuela
Willie's Cacao,San Martin,457,2009,70%,U.K.,3.0, ,Peru
A. Morin,Cuba,1315,2014,70%,France,3.5, ,Cuba
Durci,"Rio Caribe, Tepui Treasure",1626,2015,70%,U.S.A.,3.5,Trinitario,Venezuela
Orquidea,Peru,859,2012,65%,Peru,3.0, ,Peru
Pacari,Raw,266,2008,100%,Ecuador,2.0,Forastero (Arriba),Ecuador
Pura Delizia,Venezuela,931,2012,73%,Italy,2.75, ,Venezuela
Franceschi,Choroni,1355,2014,70%,Venezuela,3.5, ,Venezuela
Nuance,"Ghana, 2013",1454,2015,70%,U.S.A.,3.75,Forastero,Ghana
Middlebury,Houseblend,887,2012,65%,U.S.A.,1.5, , 
C-Amaro,Sao Tome,749,2011,78%,Italy,2.25,Forastero,Sao Tome
DeVries,Costa Rica,166,2007,77%,U.S.A.,3.5,Trinitario,Costa Rica
East Van Roasters,Madagascar,1343,2014,70%,Canada,3.5,Trinitario,Madagascar
Fresco,"Sambirano Valley, #216, MR, LC",915,2012,74%,U.S.A.,4.0,Trinitario,Madagascar
Pump Street Bakery,"Akesson's, batch 4411",1530,2015,74%,U.K.,3.5,Criollo,Madagascar
organicfair,Maya Mountain,1161,2013,74%,Canada,2.75,Trinitario,Belize
Bonnat,Ivory Coast,331,2009,75%,France,3.0, ,Ivory Coast
Holy Cacao,Sambirano,1466,2015,70%,Israel,3.5,Trinitario,Madagascar
Adi,"Vanua Levu, Ami-Ami-CA",705,2011,72%,Fiji,3.5,Trinitario,Fiji
Scharffen Berger,Finisterra,227,2008,72%,U.S.A.,3.0,Blend,"Ven., Trinidad, Mad."
Tan Ban Skrati,"Paramaribo, batch 20160043-01",1868,2016,70%,Suriname,3.25,Trinitario,Suriname
Pinellas,Wampusirpi Region,1772,2016,80%,U.S.A.,2.5, ,Honduras
El Rey,San Joaquin,1662,2015,70%,Venezuela,3.75, ,Venezuela
Goodnow Farms,"Asochivite, batch 1005",1924,2016,77%,U.S.A.,3.25, ,Guatemala
Rozsavolgyi,"Sambirano, Akesson Estate",871,2012,72%,Hungary,2.5,Trinitario,Madagascar
Dolfin (Belcolade),Noir,63,2006,70%,Belgium,1.5, , 
Chocovic,Kendari,439,2009,60%,Spain,3.25, , 
Omnom,Madagascar,1247,2014,66%,Iceland,3.5,Trinitario,Madagascar
Maverick,Tumbes,1430,2014,82%,U.S.A.,3.25,Criollo,Peru
Oakland Chocolate Co.,Jamaica,478,2010,70%,U.S.A.,2.5,Trinitario,Jamaica
Cacao Hunters,"Boyaca, Aprocampa Coop, Pauna",1434,2014,69%,Colombia,2.75, ,Colombia
Szanto Tibor,"Ben Tre, Mekong Delta",1708,2015,70%,Hungary,3.25,Trinitario,Vietnam
Silvio Bessone,"Trintade, Sao Tome",725,2011,65%,Italy,3.25,Forastero,Sao Tome
"Smooth Chocolator, The","Papua New Guinea, triple roast, batch 1",1662,2015,65%,Australia,3.5, ,Papua New Guinea
Holy Cacao,Gran Couva,1466,2015,70%,Israel,3.5,Trinitario,Trinidad
Amedei,Grenada,123,2007,70%,Italy,3.5,Trinitario,Grenada
Lonohana,"Hawaiian Crown, Kona Vanilla",1097,2013,70%,U.S.A.,3.5, ,Hawaii
Bahen & Co.,Houseblend,1474,2015,80%,Australia,3.25, , 
Castronovo,"Maya Mtn, Batch 454, Heirloom",1724,2016,72%,U.S.A.,4.0,Trinitario,Belize
Summerbird,Peru,1800,2016,61%,Denmark,2.5,"Criollo, Trinitario",Peru
Szanto Tibor,Nacional,1668,2015,70%,Hungary,3.25, ,Ecuador
Omnom,Papua New Guinea,1247,2014,70%,Iceland,3.0, ,Papua New Guinea
"Smooth Chocolator, The","Chuao, batch 3",1666,2015,70%,Australia,3.75,Trinitario,Venezuela
Cacao de Origen,Chuao,1688,2015,77%,Venezuela,3.5,Trinitario,Venezuela
SRSLY,Dominican Republic,1121,2013,84%,U.S.A.,2.25, ,Dominican Republic
Chocolate Alchemist-Philly,"Philly Blend, 5 plantations",1772,2016,80%,U.S.A.,2.5, , 
Cacao Barry,Grand 'Anse,1716,2016,65%,France,3.5,"Trinitario, Criollo",Haiti
Beehive,"Brazil, Batch 20316",1784,2016,80%,U.S.A.,2.75, ,Brazil
East Van Roasters,Dominican Republic,1343,2014,70%,Canada,3.75, ,Dominican Republic
Rogue,Jamaica,213,2008,70%,U.S.A.,2.75,Trinitario,Jamaica
Sirene,"Esmeraldas, Salazar Farm",1860,2016,73%,Canada,3.75, ,Ecuador
Ritual,"Mid Mountain, 2014",1466,2015,70%,U.S.A.,3.5,Blend, 
De Villiers,"Sambirano Valley, batch 2477",1832,2016,70%,South Africa,3.0, ,Madagascar
A. Morin,Kpime,1676,2015,70%,France,2.75, ,Togo
Cao,Tanzania,1804,2016,73%,U.S.A.,2.75, ,Tanzania
Pump Street Bakery,"Akessons Estate, Sambirano, Ambanja",1223,2014,72%,U.K.,3.25,Trinitario,Madagascar
French Broad,"Maranon Canyon, Fortunato No. 4",781,2011,70%,U.S.A.,3.5,Forastero (Nacional),Peru
Ranger,"Chulucanas, Batch 1",1562,2015,80%,U.S.A.,3.25, ,Peru
Scharffen Berger,Jamaica a l'ancienne,56,2006,70%,U.S.A.,2.0,Trinitario,Jamaica
Kiskadee,"La Red, Guanconjeco",1251,2014,60%,U.S.A.,3.0,Trinitario,Dominican Republic
Tejas,San Jose,829,2012,70%,U.S.A.,2.75, ,Bolivia
Solstice,Amazonas,1157,2013,70%,U.S.A.,3.0, ,Venezuela
Metiisto,Akesson Estate,1267,2014,72%,Sweden,3.5,Trinitario,Madagascar
L'Amourette,Blend,853,2012,72%,U.S.A.,3.0,Criollo,"Peru, Ecuador, Venezuela"
Dandelion,"Mantuano, 2012",1085,2013,70%,U.S.A.,3.5, ,Venezuela
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,70%,Ecuador,3.0,Forastero (Arriba),Ecuador
Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",508,2010,70%,Switzerland,3.25,Trinitario,Venezuela
Caoni (Tulicorp),Los Rios,269,2008,55%,Ecuador,3.25,Forastero (Arriba),Ecuador
Zokoko,Tokiala,701,2011,66%,Australia,3.5,Trinitario,Papua New Guinea
Bonnat,Haiti,629,2011,75%,France,4.0, ,Haiti
TCHO,TCHOPro 68,387,2009,68%,U.S.A.,3.0, , 
Pralus,Ghana,40,2006,75%,France,3.25,Forastero,Ghana
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",316,2009,77%,Ecuador,3.25,Forastero (Arriba),Ecuador
Guido Castagna,Ghana,355,2009,64%,Italy,3.0,Forastero,Ghana
Soul,Ecuador,1936,2017,75%,Canada,3.25, ,Ecuador
Willie's Cacao,Los Llanos,1848,2016,70%,U.K.,4.0, ,Colombia
Middlebury,La Red,1117,2013,75%,U.S.A.,2.5, ,Dominican Republic
Dormouse,"Rio Caribe, Batch 7",1672,2015,70%,U.K.,2.5,Trinitario,Venezuela
Kallari (Ecuatoriana),Diego 48hr/ W.F. blend prototype,248,2008,85%,Ecuador,2.75, ,Ecuador
Beschle (Felchlin),Ecuador,636,2011,72%,Switzerland,4.0, ,Ecuador
Moho,Toledo District,1030,2013,72%,U.S.A.,3.0,Trinitario,Belize
Zotter,Raw,1205,2014,80%,Austria,2.75, , 
Middlebury,"Balinese, Java",887,2012,70%,U.S.A.,2.5,Criollo,Indonesia
Grenada Chocolate Co.,Grenada,241,2008,71%,Grenada,2.5,Trinitario,Grenada
Madre,"Chiapas, Triple Cacao",607,2010,72%,U.S.A.,2.75, ,Mexico
Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",1868,2016,70%,U.S.A.,3.5,Criollo,Venezuela
Montecristi,Manabi,1658,2015,85%,Ecuador,3.5, ,Ecuador
Cacao Sampaka,"Xoconusco, Chiapas",346,2009,70%,Spain,4.0,Criollo,Mexico
Guittard,Jamaica,1053,2013,65%,U.S.A.,3.25,Trinitario,Jamaica
Neuhaus (Callebaut),Dark,135,2007,73%,Belgium,1.0, , 
Artisan du Chocolat,Haiti,729,2011,72%,U.K.,4.0, ,Haiti
Domori,"Carupano, H. San Jose",227,2008,70%,Italy,3.0,Trinitario,Venezuela
Matale,"Somia, 2013",1177,2013,68%,Australia,4.0,Trinitario,Madagascar
Spencer,Malekula Island,1434,2014,72%,Australia,2.75,Trinitario,Vanuatu
French Broad,Guatemala,1634,2015,73%,U.S.A.,3.5, ,Guatemala
Davis,Venezuela,1093,2013,70%,U.S.A.,2.75, ,Venezuela
Kallari (Ecuatoriana),Sisa 36hr/ W. F. blend prototype,241,2008,70%,Ecuador,3.0, ,Ecuador
Bonnat,"Maracaibo, El Rosario",48,2006,75%,France,4.0,Criollo,Venezuela
Nibble,"Ambanja, Sambirano Valley",1526,2015,72%,U.S.A.,3.0,Trinitario,Madagascar
Coppeneur,Ghana Puristique,813,2012,85%,Germany,3.5,Forastero,Ghana
Frederic Blondeel,Ghana,1351,2014,60%,Belgium,3.5,Forastero,Ghana
Ohiyo,"San Juan Estate, Gran Couva",1594,2015,70%,U.S.A.,2.75,Trinitario,Trinidad
Scharffen Berger,Bittersweet,15,2006,70%,U.S.A.,3.5,Blend, 
Na�ve,Barinas,1399,2014,70%,Lithuania,3.0, ,Venezuela
Duffy's,Dominican Republic,661,2011,65%,U.K.,3.5, ,Dominican Republic
Dalloway,"Dominican Republic, batch 7",1928,2017,72%,U.S.A.,2.75, ,Dominican Republic
Brazen,Elvesia P.,1514,2015,80%,U.S.A.,3.25, ,Dominican Republic
Amano,Chuao,544,2010,70%,U.S.A.,3.0,Trinitario,Venezuela
Chokolat Elot (Girard),Guadeloupe,1149,2013,42%,Martinique,2.75, ,Martinique
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",341,2009,100%,Ecuador,1.5,Forastero (Arriba),Ecuador
Hummingbird,Amazonas,1097,2013,70%,Canada,3.75,Forastero,Venezuela
A. Morin,Chanchamayo Province,1019,2013,70%,France,3.5, ,Peru
Pacari,Esmeraldas,224,2008,60%,Ecuador,2.5,Forastero (Arriba),Ecuador
Domori,Porcelana,111,2007,70%,Italy,4.0,Criollo (Porcelana),Venezuela
La Maison du Chocolat (Valrhona),Orinoco,445,2009,60%,France,3.75, , 
Holy Cacao,Hispaniola w/ nibs,431,2009,75%,Israel,3.75, ,Dominican Republic
Dandelion,"Camino Verde P., Balao, Guayas, 2013",1295,2014,70%,U.S.A.,3.5, ,Ecuador
Chocolate Makers,Tres Hombres,1530,2015,75%,Amsterdam,3.25,Trinitario,Dominican Republic
Map Chocolate,"Kakoa Kamili, Both Man & Bird & Beast",1610,2015,72%,U.S.A.,3.0, ,Tanzania
Carlotta Chocolat,Tumaco,1888,2016,65%,Colombia,3.25,Trinitario,Colombia
Tejas,Concepcion*,971,2012,80%,U.S.A.,3.0, ,Venezuela
Soma,Porcelana,1594,2015,75%,Canada,4.0, ,Venezuela
Michel Cluizel,"Chiapas, Mokaya P.",963,2012,66%,France,3.75, ,Mexico
Altus aka Cao Artisan,Bolivia,1129,2013,80%,U.S.A.,3.25, ,Bolivia
Kah Kow,"Rizek Cacao, Domin. Rep.",1069,2013,55%,Domincan Republic,3.25, ,Dominican Republic
Honest,"Ecuador, w/ nibs",1327,2014,72%,South Africa,2.5, ,Ecuador
Duffy's,Panama,516,2010,70%,U.K.,3.5, ,Panama
Hotel Chocolat (Coppeneur),Trinidad,1038,2013,75%,U.K.,3.0,Trinitario,Trinidad
Fruition,Signature Blend,753,2011,66%,U.S.A.,3.25,Trinitario,Costa Rica
Heirloom Cacao Preservation (Guittard),"Wild Beni, Lower Rio Beni, Tranquilidad, 2014",1243,2014,67%,U.S.A.,3.0,Beniano,Bolivia
Michel Cluizel,Noir Infini,81,2006,99%,France,2.0, , 
Kto,Sambirano Valley,1422,2014,72%,U.S.A.,3.25,Trinitario,Madagascar
Palette de Bine,"San Juan Estate, Gran Couva",1570,2015,70%,Canada,3.25,Trinitario,Trinidad
Alexandre,Tien Giang,1944,2017,70%,Netherlands,3.5,Trinitario,Vietnam
Soma,"Dual Origins, Sambirano, Elvesia",867,2012,70%,Canada,4.0,Blend,"Dom. Rep., Madagascar"
Woodblock,La Red,769,2011,70%,U.S.A.,3.5, ,Dominican Republic
Pitch Dark,"Camino Verde P., Balao, Guayas, ""Fruity""",1319,2014,73%,U.S.A.,3.25, ,Ecuador
El Rey,"Carenero Superior, Gran Saman",32,2006,70%,Venezuela,2.75,Criollo,Venezuela
Felchlin,"Alto Beni, Cru Savage",56,2006,68%,Switzerland,4.0,Criollo (Wild),Bolivia
Rogue,"Camino Verde P., Balao, Guayas",979,2012,75%,U.S.A.,3.75,Nacional (Arriba),Ecuador
Kallari (Ecuatoriana),Cacao Nacional W.F.,269,2008,85%,Ecuador,3.0, ,Ecuador
Bonnat,Cuba,629,2011,75%,France,3.5,Trinitario,Cuba
L.A. Burdick (Felchlin),Bolivian,451,2009,68%,U.S.A.,3.0, ,Bolivia
Majani,Ecuador,531,2010,70%,Italy,2.0, ,Ecuador
Holy Cacao,Mara,1466,2015,70%,Israel,3.5, ,Venezuela
Bar Au Chocolat,Maranon Canyon,1295,2014,70%,U.S.A.,4.0,Forastero (Nacional),Peru
Carlotta Chocolat,Arauca,1884,2016,65%,Colombia,3.0,Trinitario,Colombia
Pierre Marcolini,Trinite,478,2010,75%,Belgium,3.25,Trinitario,Trinidad
Soma,"Rizek Cacao, Domin. Rep.",1019,2013,77%,Canada,3.75,Trinitario,Dominican Republic
Mast Brothers,French Laundry 20th Anniversary,1359,2014,75%,U.S.A.,3.75,Blend,"Peru, Belize"
Arete,Guatemala,1602,2015,70%,U.S.A.,3.25, ,Guatemala
Eclat (Felchlin),"Maranon, Good & Evil, w/ nibs",919,2012,72%,U.S.A.,2.75,Forastero (Nacional),Peru
L'Amourette,Rio Caribe,833,2012,75%,U.S.A.,3.0,Trinitario,Venezuela
Terroir,Ecuador,1482,2015,70%,U.S.A.,3.25, ,Ecuador
Jordis,Madagascar,1534,2015,63%,Czech Republic,2.75,Trinitario,Madagascar
Mast Brothers,"La Red de Guanconejo, N. Highlands coop",777,2011,74%,U.S.A.,3.75, ,Dominican Republic
TCHO,Chocolatey-beta,199,2008,70%,U.S.A.,2.5,Forastero,Ghana
Pralus,Peru,1446,2015,75%,France,3.25, ,Peru
Bittersweet Origins,Puerto Plata,414,2009,75%,U.S.A.,3.0, ,Dominican Republic
Palette de Bine,Lachua,1720,2016,70%,Canada,2.75, ,Guatemala
Amatller (Simon Coll),Ecuador,327,2009,70%,Spain,2.75, ,Ecuador
Mutari,"Kokoa Kamili, batch 1 SRB",1896,2016,68%,U.S.A.,2.75, ,Tanzania
Benoit Nihant,Cuyagua Village,1141,2013,74%,Belgium,3.5,Criollo,Venezuela
twenty-four blackbirds,Oko Caribe,1700,2015,75%,U.S.A.,2.75, ,Domincan Republic
La Maison du Chocolat (Valrhona),"Cuana, 2013",1121,2013,74%,France,2.75, ,"Africa, Carribean, C. Am."
